Compound ID,SMILES,measured log(solubility:mol/L),ATSC6d,ATSC5Z,ATSC6Z,ATSC8Z,ATSC8se,ATSC5i,RPCS,Xch-3d,Mor24v,SMR_VSA9,nG12FHRing,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,GhoseFilter
"1,2-Benzenediol",Oc1ccccc1O,0.62,0.6530612244897959,23.34693877551022,19.755102040816332,0.0,0.0,5.35156929446022,100.68144593219122,0.0,-0.03086828967111741,11.49902366656781,0,0.0,0.0,0.0,0.0,0.0,0.0,False
m-Chloroiodobenzene,Clc1cccc(I)c1,-3.55,0.0,-355.24999999999994,0.0,0.0,0.0,0.9997324299787385,68.83342415120931,0.0,-0.07947455920902786,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Methyl decanoate,CCCCCCCCCC(=O)OC,-4.69,-0.09142857142857128,3.030204081632656,2.1942857142857135,0.5224489795918348,-0.16454478367346928,-0.49579420129512175,18.824675294812824,0.0,-0.01234021686064448,0.0,0,0.013888888888888888,0.011661807580174929,0.010416666666666666,0.009876543209876541,0.010000000000000002,0.005509641873278237,True
Pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,0.8520710059171599,-6.0,-63.0,0.0,0.0,2.351025154391519,66.67061812033667,0.0,-0.06644601178395373,5.749511833283905,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Monotropitoside,COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O,-0.742,-1.8633425669436707,-63.69621421975991,20.56048014773776,-52.35887965527854,-0.25359601354262973,14.659939020632393,115.8642788318067,0.0,-0.02671752003702816,5.749511833283905,0,0.0260840108401084,0.0212430426716141,0.01721014492753623,0.013408796219481468,0.009475806451612903,0.007227153691800156,False
Iodomethane,CI,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.61614470094229,0.0,-0.03476987258627056,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
m-Nitrophenol,Oc1cccc(c1)N(=O)=O,-1.01,2.2222222222222228,-0.7200000000000002,-34.2,0.0,0.0,4.654335602079968,96.72861407249741,0.0,0.028356677885180075,5.749511833283905,0,0.03125,0.0,0.0,0.0,0.0,0.0,False
oryzalin,CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,-5.16,-13.396787626412845,225.05056513979764,45.55443188578228,-325.1392028554431,-5.918426971445567,-26.29584904155134,26.022138882807493,0.0,0.023763732067530498,0.0,0,0.0472524154589372,0.01730612244897959,0.013503086419753084,0.018518518518518517,0.0,0.0,True
rhodanine,C1SC(=S)NC1(=O),-1.77,0.0,0.0,0.0,0.0,0.0,0.0,20.343147367833577,0.0,-0.05150058010496709,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Hydroxyprogesterone-17a,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817,7.580246913580248,-35.44444444444439,194.22222222222229,33.555555555555564,-0.4403942716049427,-14.247055995187749,50.536391716809426,0.0,0.036340220006199485,0.0,0,0.036182795698924734,0.032754648526077096,0.022310799319727893,0.016964810615604266,0.012882373113854597,0.014437302316090195,True
2-Decanone,CCCCCCCCC(=O)C,-3.3,-0.2497398543184184,2.464099895941729,2.197710718002085,1.664932362122794,-0.04369108844953171,-0.262972920819899,20.06771892075534,0.0,0.015397661265587167,0.0,0,0.018518518518518517,0.0163265306122449,0.015625,0.016460905349794233,0.0,0.0,False
Cyclopentane,C1CCCC1,-2.64,0.0,0.0,0.0,0.0,0.0,0.0,173.15018195401495,0.0,-0.07895144970693198,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
borneol,CC1(C)C2CCC1(C)C(O)C2,-2.32,1.6076099881093937,239.04756242568376,30.90606420927468,0.0,0.0,58.073687334286575,51.197961130429746,0.0,0.05898300683687634,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1-Chlorobutane,CCCCCl,-2.03,0.0,-63.918367346938766,0.0,0.0,0.0,3.2270945140806657,146.79826921579064,0.0,-0.04125131619139098,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
estriol,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O,-4.955,6.800000000000004,5.648888888888901,63.533333333333346,-20.37333333333334,-0.2816793600000003,-5.3131844739401615,162.85446930849182,0.0,-0.318637590719007,5.749511833283905,0,0.032933333333333335,0.030249433106575963,0.0229439990281827,0.016572009462221097,0.019188271604938273,0.0,True
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08561744535807392,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Sulfanilamide,Nc1ccc(cc1)S(N)(=O)=O,-1.34,-2.102493074792243,82.22160664819943,-17.869806094182834,55.85595567867035,0.23619599999999893,-4.830102863408673,0.7590500634641636,0.0,-0.014162836380946255,0.0,0,0.08854166666666667,0.0,0.0,0.0,0.0,0.0,False
"1,1-Dichloroethylene",ClC(=C)Cl,-1.64,0.0,0.0,0.0,0.0,0.0,0.0,12.909983445469658,0.0,-0.02670089913804368,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
"1,3,5-Trinitrobenzene",O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89,12.499999999999998,9.0,-12.0,0.0,0.0,8.158444383420726,37.30078677437315,0.0,0.08060284742660269,0.0,0,0.057870370370370364,0.0,0.0,0.0,0.0,0.0,False
captafol,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.4,-6.899862825788754,-56.96570644718789,-326.11796982167346,-582.5843621399176,-1.906181333333334,4.414241642595092,20.819047593234295,0.0,-0.07847448132840545,0.0,0,0.04042929292929293,0.02388038548752834,0.016581632653061222,0.015624999999999997,0.0,0.0,True
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658,-8.703673469387756,-566.862857142857,92.36489795918364,-522.6555102040816,-2.9404971126530604,-11.738848896509634,0.6715806567784269,0.0,0.23253905192632646,6.010464839586836,0,0.034938271604938266,0.02574363078564759,0.019223760932944603,0.012345679012345675,0.0,0.0,True
5-Nonanone,CCCCC(=O)CCCC,-2.58,-0.9591836734693869,-2.448979591836734,-91.34693877551014,6.693877551020411,0.06852938775510142,-0.23115066078720548,16.20642980263518,0.0,0.06185380868845103,0.0,0,0.009259259259259259,0.01360544217687075,0.015625,0.0,0.0,0.0,False
Hexamethylbenzene,Cc1c(C)c(C)c(C)c(C)c1C,-5.23,11.52,-81.0,108.0,0.0,0.0,-17.71279711057457,348.1747491962632,0.0,0.07073715284773238,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
2-Heptanone,CCCCCC(=O)C,-1.45,-0.669421487603306,2.9090909090909087,2.3801652892561975,32.80165289256198,0.08515785123966849,-0.3831893424250754,14.8170906260235,0.0,0.09596724614931805,0.0,0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,False
Glycerol,OCC(O)CO,1.12,0.08163265306122454,16.89795918367347,6.612244897959185,0.0,0.0,1.9941962355452791,85.37957001163173,0.0,0.016808320987153232,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Trichlomethiazide,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl,-2.68,-3.1887755102040813,177.04081632653057,-205.44897959183666,262.87755102040813,-0.2190652920918382,-28.9140645295443,4.771903894921111,0.0,-0.09230835172014473,0.0,0,0.05422008547008548,0.015732838589981448,0.02907986111111111,0.029629629629629627,0.0,0.0,True
2-Isopropyltoluene,CC(C)c1ccccc1C,-3.76,4.79166666666667,-111.45833333333334,98.95833333333336,0.0,0.0,-24.37331906933514,94.43576468985579,0.0,-0.009114155674967457,0.0,0,0.0625,0.0,0.0,0.0,0.0,0.0,False
Cyclohexanone,O=C1CCCCC1,-0.6,0.0,16.89965397923875,0.0,0.0,0.0,6.823288009958983,12.223786415911688,0.0,-0.04635985800568675,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Benzene,c1ccccc1,-1.64,0.0,18.75,0.0,0.0,0.0,4.100184516336733,132.7433515601321,0.0,-0.036067011948511835,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Anisole,COc1ccccc1,-1.85,1.0,-0.59375,16.40625,0.0,0.0,0.38797686194142056,39.86654124150948,0.0,0.021732904927796746,5.749511833283905,0,0.0625,0.0,0.0,0.0,0.0,0.0,False
DDT,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-7.15,-2.25,-471.8367346938776,-689.7959183673468,-120.68877551020407,-0.5152718864795915,2.5465580879035663,0.0,0.0,-0.013997663498932835,0.0,0,0.020299145299145303,0.04036281179138322,0.01240079365079365,0.00987654320987654,0.025625000000000002,0.0,False
Flutriafol,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37,-2.3738775510204073,-17.184489795918363,22.368979591836748,57.536326530612264,1.5370868799999993,-5.314515122944723,86.48745604694248,0.0,-0.19054326465490384,0.0,0,0.023626543209876543,0.010070775785061499,0.016378710575139146,0.01055524061476442,0.013438786008230452,0.0,True
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,-0.72,0.0,102.3905817174515,0.0,0.0,0.0,14.678659464506959,1.7919128653145466,0.0,0.03262257719705376,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Di-n-propylsulfide,CCCSCCC,-2.58,0.10204081632653085,-32.6530612244898,20.40816326530612,41.326530612244895,0.03390859183673437,-7.445583706964509,152.98984796740947,0.0,0.003919455696223501,0.0,0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,False
"2,2-Dimethylpropanol",CC(C)(C)CO,-0.4,0.0,28.444444444444446,0.0,0.0,0.0,3.783743387435116,60.86415389524655,0.0,0.000815505762557906,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
o-Nitroanisole,COc1ccccc1N(=O)=O,-1.96,4.88888888888889,-67.30864197530863,-48.22222222222221,0.0,0.0,-0.3617280969414111,20.426795915642582,0.0,0.05027946833892203,5.749511833283905,0,0.037500000000000006,0.0,0.0,0.0,0.0,0.0,False
3-Methyl-3-hexanol,CCCC(C)(O)CC,-0.98,1.875,-21.8125,39.375,0.0,0.0,-1.090901460244611,52.48986517606328,0.0,0.005546019853085591,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Fenoxycarb,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7,1.4562760261748968,-86.7537180249851,31.67459845330161,7.431290898274835,-1.0045939869125529,10.665889661530198,35.603210072016296,0.0,0.14870037313819612,17.248535499851716,0,0.007605820105820107,0.0158968850698174,0.012765522875816991,0.005475770555135632,0.006682692307692309,0.0037472985131387334,True
RTI 7,C2c1ccccc1N(CCF)C(=O)c3ccccc23,-3.535,-6.593204775022954,-90.30211202938476,-47.49403122130395,51.3149678604224,-0.1983324150596877,-15.176753816156216,28.887493327625375,0.0,0.18085816434161978,0.0,1,0.01700396825396825,0.016766706682673063,0.012274254940071266,0.02040816326530612,0.0,0.0,True
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,-3.75,-3.3333333333333326,-0.5208333333333224,8.333333333333336,15.625000000000007,0.014822499999999779,-0.11389401434274331,130.3122431735404,0.0,0.046206057924633594,0.0,0,0.060185185185185196,0.020408163265306124,0.0,0.0,0.0,0.0,False
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,-1.7575442247658666,-136.5036420395421,273.0072840790843,-65.9157127991675,0.32611678251820997,-20.465195760627573,0.0,0.0,0.024629086369444202,5.749511833283905,0,0.030753968253968256,0.030408163265306126,0.018663194444444444,0.00987654320987654,0.0,0.0,True
Metoxuron,COc1ccc(NC(=O)N(C)C)cc1Cl,-2.564,-3.987244897959184,-150.93877551020404,39.9591836734694,-180.4285714285715,-0.5128296785714286,-0.3874497483116198,26.12292099322374,0.0,0.07331755474154322,5.749511833283905,0,0.03356481481481481,0.028408163265306124,0.021329365079365076,0.012345679012345675,0.0,0.0,True
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,-0.7520661157024816,100.85950413223146,-475.20661157024784,-46.11570247933884,-0.21955971074380162,-4.542245884123507,151.16608062998588,0.0,-0.06458660991473278,11.126902983393991,0,0.0171957671957672,0.04016326530612245,0.009375000000000001,0.02040816326530612,0.0,0.0,False
Dicapthon,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31,0.7204142011834311,-0.7455621301775054,86.3550295857988,339.99999999999994,3.7223841153846142,-5.8632904155319,0.21698252261154974,0.0,0.11851063855473555,5.749511833283905,0,0.02595029239766082,0.023605442176870745,0.034722222222222224,0.012345679012345675,0.0,0.0,True
chloralose,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,-1.84,1.5535714285714293,-141.74489795918367,85.78571428571428,-17.77551020408165,0.49273210969387754,-3.5059653806841604,0.0,0.0,-0.1537183970129393,0.0,0,0.03538194444444444,0.031168831168831172,0.03587962962962963,0.010582010582010581,0.0,0.0,False
2-Methyltetrahydrofurane,CC1CCCO1,0.11,0.0,48.0,0.0,0.0,0.0,6.385066966296755,112.37869157334201,0.0,-0.00954667831147721,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1-Bromonapthalene,Brc1cccc2ccccc12,-4.35,2.3271604938271615,-308.8888888888888,-34.22222222222219,0.0,0.0,-4.173888485069064,135.13473866066772,0.0,0.08746041961108314,0.0,0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,False
4-Chlorophenol,Oc1ccc(Cl)cc1,-0.7,0.37869822485207105,97.5739644970414,-48.6094674556213,0.0,0.0,4.275597850729157,63.67370126997568,0.0,-0.018737907932169333,5.749511833283905,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2-Methylbutan-2-ol,CCC(C)(C)O,0.15,0.0,66.37037037037037,0.0,0.0,0.0,8.828734570681936,46.21939977975791,0.0,-0.09164415049632842,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
ethiofencarb,CCSCc1ccccc1OC(=O)NC,-2.09,-8.5,0.0,-109.0,-15.0,0.01001824999999791,-10.354092426461442,11.038890919499167,0.0,-0.17748814156504508,5.749511833283905,0,0.019965277777777776,0.02020408163265306,0.019675925925925923,0.008230452674897117,0.0,0.0,True
1-Chlorohexane,CCCCCCCl,-3.12,0.375,-0.5699999999999976,-4.179999999999998,0.0,0.0,-0.5049753628359765,163.68385485927843,0.0,-0.007072901249612669,0.0,0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,False
2-Methylpentane,CCCC(C)C,-3.74,0.7199999999999995,-29.25,40.5,0.0,0.0,-6.396287845485321,128.217898131258,0.0,0.05233685340638526,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
"1,4-Pentadiene ",C=CCC=C,-2.09,0.21301775147929006,-8.875739644970418,14.79289940828402,0.0,0.0,-1.9409157473783407,145.50247183591415,0.0,-0.05907934101960913,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Oxazepam,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,-3.952,-10.269510926118627,61.35171696149846,-91.88241415192508,-52.483870967741886,-0.521749387096775,-12.448685185548696,30.86391407243781,0.0,0.018703790964121662,0.0,0,0.023413978494623656,0.02194633408919123,0.011217948717948716,0.013605442176870748,0.0,0.0,True
Prasterone,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12,0.857975843398581,50.28154935443567,95.88796334860474,11.254893794252403,-0.32021401915868464,-9.668090624631951,103.30972043697088,0.0,-0.0007071238564631243,0.0,0,0.03472222222222223,0.03050722043203246,0.017764477585906154,0.019543200878234888,0.01507908950617284,0.0,True
2-methylpteridine,Cc2ncc1nccnc1n2,-0.12,-1.2145328719723187,-15.145328719723183,-47.26989619377163,36.134948096885815,0.126147363321799,1.0642066958318304,43.96324205478156,0.0,-0.10302514029862923,0.0,0,0.020833333333333336,0.04,0.0,0.0,0.0,0.0,False
Bromodichloromethane,BrC(Cl)Cl,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,1.8491049882015294,0.0,0.01747282157016457,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2-aminoanthracene,Nc3ccc2cc1ccccc1cc2c3,-5.17,-3.804733727810651,15.893491124260338,-19.798816568047346,-2.8284023668639082,-0.04951667455621295,-1.7940378322806225,144.55041709555312,0.0,0.012508028669457192,0.0,0,0.016203703703703706,0.025,0.01171875,0.02040816326530612,0.0,0.0,True
Dienestrol,CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.95,-1.0249307479224374,-102.14127423822714,-58.48753462603878,1.1689750692520808,-0.5310379833795015,-25.25176846746628,131.27514716355893,0.0,-0.0007472303922958588,11.49902366656781,0,0.023662551440329218,0.02018552875695733,0.018229166666666664,0.013101536911060715,0.008000000000000002,0.020610141822263034,True
Chlorzoxazone,Clc2ccc1oc(=O)[nH]c1c2,-2.831,2.2533333333333334,-8.746666666666663,37.21333333333333,0.0,0.0,1.6581045500548524,30.07213695089437,0.0,-0.12552515037354553,0.0,0,0.05388888888888889,0.0,0.0,0.0,0.0,0.0,False
Succinimide,O=C1CCC(=O)N1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,25.66188957186297,0.0,0.027804691966089735,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
trans-2-Heptene,CCCC/C=C/C,-3.82,-0.23809523809523792,-8.955799065309593e-15,-8.333333333333334,25.0,0.023715999999999703,1.1141141342818635e-14,82.11307526480418,0.0,0.0038479495195715605,0.0,0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,False
Hexadecane,CCCCCCCCCCCCCCCC,-8.4,-0.3327999999999999,-1.479999999999995,-1.5199999999999951,-1.5999999999999952,-0.0015178239999997433,-0.3236412311561939,408.3648322278587,0.0,-0.02930702184330833,0.0,0,0.00505050505050505,0.004081632653061225,0.003472222222222222,0.0030864197530864187,0.0028571428571428576,0.0027548209366391185,False
Methanol,CO,1.57,0.0,0.0,0.0,0.0,0.0,0.0,48.736907317874284,0.0,0.014501331085071028,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Ethane,CC,-1.36,0.0,0.0,0.0,0.0,0.0,0.0,137.26031282849775,0.0,-0.0032884385135016473,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Dialifor,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,-7.046875,-481.41999999999985,108.85000000000004,-310.13000000000005,-2.2579582824999997,-18.518178728756414,26.69900479009806,0.0,0.2739797782473506,0.0,0,0.02998316498316498,0.022127130422061294,0.01642219387755102,0.008680555555555552,0.006172839506172839,0.010000000000000002,True
1-Butene,CCC=C,-1.94,0.0,16.666666666666664,0.0,0.0,0.0,3.6446084589659904,108.23646560121135,0.0,-0.0072487506271708005,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
adenine,Nc1ncnc2nc[nH]c12,-2.12,2.5600000000000005,-30.555555555555525,53.777777777777786,0.0,0.0,1.0933824488897708,71.28148184956568,0.0,-0.1692347337681658,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
"2,4-Dimethyl-3-pentanone",CC(C)C(=O)C(C)C,-1.3,2.6776859504132227,-97.88429752066112,131.20661157024796,0.0,0.0,-21.820167808198498,12.210611582879219,0.0,0.07026572266480234,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Dimethoxymethane,COCOC,0.48,0.4792899408284027,-37.065088757396445,44.786982248520715,0.0,0.0,-5.799906296039983,28.8951882454423,0.0,0.05679973489204188,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Acetonitrile,CC#N,0.26,0.0,0.0,0.0,0.0,0.0,0.0,102.46833041642886,0.0,0.03757808559314569,6.069221312792274,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1-Bromopentane,CCCCCBr,-3.08,0.4982698961937718,-71.30795847750868,-245.5951557093426,0.0,0.0,0.11844265711947466,143.83664853996345,0.0,0.03896356984707312,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Methyldymron,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35,-0.4224999999999999,-67.20000000000002,-66.04,-47.84000000000001,-0.020983489999999074,12.317208915985224,10.569604124137705,0.0,0.11762599734045087,0.0,0,0.03170289855072463,0.022513426423200856,0.012152777777777776,0.005368529178052986,0.002812499999999999,0.004081216202428323,True
prednisolone acetate,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C,-4.37,1.3412812410226953,46.96552714737149,76.47428899741452,-91.97098534903762,-2.1138470910657854,-18.841620763102625,35.44906774492936,0.0,-0.06865868272296122,0.0,0,0.034801587301587306,0.02912471655328798,0.017720629918634115,0.017111782984798853,0.010640817901234568,0.011113465658920204,True
m-Nitroaniline,Nc1cccc(c1)N(=O)=O,-2.19,3.125,-5.25,-49.0,0.0,0.0,5.807204436155602,25.11199967900899,0.0,0.00452749949113708,0.0,0,0.03125,0.0,0.0,0.0,0.0,0.0,False
"2,2',4,5'-PCB",Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl,-6.57,-0.25619834710743866,131.40495867768593,-33.02479338842974,109.52066115702482,0.33543133057851265,-2.228918065569007,139.8587710415927,0.0,-0.10157210601882688,11.126902983393991,0,0.027777777777777776,0.02738404452690167,0.021180555555555557,0.01020408163265306,0.0,0.0,False
Bromophos,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09,-4.666666666666663,283.5,717.75,-141.0,-0.35947213194444416,-11.241988148590913,0.8385894261846458,0.0,0.15726736964443516,5.749511833283905,0,0.028186274509803922,0.0280690737833595,0.016865079365079364,0.0,0.0,0.0,True
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,-4.07,0.0,800.7499999999999,0.0,0.0,0.0,4.4025222254489895,85.12883414371807,0.0,0.02839485665739303,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Morin,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,-3.083,-3.43359375,-137.609375,-38.359375,-38.390625,0.6414377499999998,3.1289185240857487,214.451305955082,0.0,-0.25160948135845407,40.071258076990965,0,0.03496168582375479,0.025272108843537415,0.019371345029239765,0.010510024115466289,0.020250000000000004,0.004115226337448559,True
theobromine,Cn1cnc2n(C)c(=O)[nH]c(=O)c12,-2.523,6.428571428571426,-137.9455782312925,-6.714285714285712,0.0,0.0,7.103826943180551,48.46054509954625,0.0,-0.050688308836504874,0.0,0,0.03961111111111111,0.0,0.0,0.0,0.0,0.0,False
Pyridine,c1ccncc1,0.76,0.0,15.884297520661159,0.0,0.0,0.0,1.9119218608820414,114.68212700649667,0.0,-0.05491028132655917,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Glafenine,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571,-6.2341806381828,-6.854515954570055,-36.50567874526771,-4.610059491617093,-0.2108250497566252,13.452795042952534,40.36352302257352,0.0,0.03952663395919101,0.0,0,0.022420634920634924,0.0156734693877551,0.010574494949494948,0.010863034672558482,0.010694444444444446,0.00798557970275142,True
Ethalfluralin,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124,-0.34915997078158917,42.32578524470418,85.18845872899927,-302.4616508400292,-8.643602997808616,7.983130833650847,0.0,0.0,0.1035909895280777,0.0,0,0.04846014492753624,0.0177498691784406,0.013503086419753084,0.018518518518518517,0.0,0.0,True
Coumachlor,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839,-7.690992767915845,-4.01446416831033,-94.96909927679158,296.93096646942786,3.112047844181457,-3.5387752364192746,15.062124180072136,0.0,0.07519365816943997,5.749511833283905,0,0.032812499999999994,0.01751792608935466,0.021111111111111112,0.006696635769317472,0.013671875,0.008264462809917356,True
Riboflavin,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685,-16.367587143503847,140.12449071978264,-95.84970574920773,-164.9669533725668,-1.0472685722046218,11.420196110257798,92.04889291551987,0.0,-0.2613683330566294,11.518332492848387,1,0.026515151515151516,0.026919791172282864,0.018419715447154473,0.015360983102918583,0.011006944444444444,0.00588861194921801,False
